INF | Serving assets from frontend DevServer URL: http://localhost:4000/
DEB | [DevWebServer] Serving DevServer at http://localhost:4000
ERR | listen tcp 127.0.0.1:4000: bind: address already in use
DEB | [DevWebServer] Shutdown completed
DEB | [AssetHandler] Handling request '/' (file='.')
DEB | [AssetHandler] File '.' not found, serving '/' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/'
DEB | [AssetHandler] Handling request '/@vite/client' (file='@vite/client')
DEB | [AssetHandler] File '@vite/client' not found, serving '/@vite/client' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/@vite/client'
DEB | [AssetHandler] Handling request '/src/web.ts' (file='src/web.ts')
DEB | [AssetHandler] File 'src/web.ts' not found, serving '/src/web.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/web.ts'
DEB | [AssetHandler] Handling request '/node_modules/.pnpm/vite@4.1.3_h2kjp5g7qgql6ddxnzg7hqp2e4/node_modules/vite/dist/client/env.mjs' (file='node_modules/.pnpm/vite@4.1.3_h2kjp5g7qgql6ddxnzg7hqp2e4/node_modules/vite/dist/client/env.mjs')
DEB | [AssetHandler] File 'node_modules/.pnpm/vite@4.1.3_h2kjp5g7qgql6ddxnzg7hqp2e4/node_modules/vite/dist/client/env.mjs' not found, serving '/node_modules/.pnpm/vite@4.1.3_h2kjp5g7qgql6ddxnzg7hqp2e4/node_modules/vite/dist/client/env.mjs' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.pnpm/vite@4.1.3_h2kjp5g7qgql6ddxnzg7hqp2e4/node_modules/vite/dist/client/env.mjs'
DEB | [AssetHandler] Handling request '/src/app.ts' (file='src/app.ts')
DEB | [AssetHandler] File 'src/app.ts' not found, serving '/src/app.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/app.ts'
DEB | [AssetHandler] Handling request '/src/App.vue' (file='src/App.vue')
DEB | [AssetHandler] File 'src/App.vue' not found, serving '/src/App.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/App.vue'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/vue.js' (file='node_modules/.vite/deps/vue.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/vue.js' not found, serving '/node_modules/.vite/deps/vue.js' by AssetHandler
